first_name,last_name,price,above_100
William,Dixon,109.03727960,true
Kristen,Horn,262.52465220,true
Kimberly,Chang,187.00725830,true
Mary,Ball,283.17464760,true
Benjamin,Craig,143.87158170,true
Cathy,Werner,61.50899135,
Brandon,Bell,48.63730910,
Paul,Farley,12.38946479,
Sarah,Mcdaniel,151.59544720,true
Caroline,Anderson,75.62152103,
Carl,Jones,147.02940470,true
Scott,Lee,244.18565270,true
Kaylee,Coleman,17.86427032,
Charles,Parker,215.53728300,true
Susan,Hess,38.35997063,
Kiara,Collier,204.18254860,true
Scott,Martinez,165.85142890,true
Christopher,Ortega,30.30144506,
Michael,Russell,243.17249110,true
Dwayne,Johnson,287.49328560,true
Patty,Smith,180.23442570,true
Deanna,Sherman,99.79911842,
Douglas,Francis,161.76889080,true
Vicki,Diaz,18.64987672,
Robin,Phillips,244.91198360,true
Travis,Rice,141.49882540,true
Ashley,Rocha,50.00303731,
Sarah,Jacobson,80.48182457,
Kayla,Shannon,98.91531394,
Sean,Wang,220.62821770,true
Richard,Estrada,49.16869151,
Joseph,Torres,150.12378420,true
Kim,Jones,18.84343770,
Melissa,Tanner,269.18402990,true
Jackson,Cline,64.31251721,
Sonya,Foster,296.21550120,true
Allen,Williams,15.39083170,
Thomas,Rivera,95.22843716,
Jamie,Silva,296.82440750,true
Kathleen,Moore,92.50052419,
Evelyn,Pineda,169.22892930,true
Kyle,Peters,106.79909520,true
Anthony,Cruz,49.10199817,
Eric,Flores,122.95569860,true
Anna,Richardson,254.49526060,true
Gary,Harper,47.59652592,
Linda,Johnson,115.36278150,true
Melissa,Smith,87.97994846,
Kristen,Floyd,135.02304130,true
William,Diaz,192.14913550,true
Benjamin,Smith,134.90529390,true
David,Glenn,216.29104630,true
Dawn,Jones,271.61449990,true
Joel,Smith,14.49491980,
Larry,Grimes,268.67586820,true
Joseph,Arnold,121.77504680,true
Kyle,Long,241.62163910,true
Brittany,Day,261.54605740,true
Bobby,Ward,63.51303580,
Thomas,Lee,254.07557710,true
Jennifer,Hansen,101.48873520,true
Lisa,Murray,176.09191740,true
Meghan,Wade,273.23034090,true
Tammie,Brooks,84.88856949,
Maria,Bell,264.07466520,true
Allison,Livingston,130.34844260,true
Chris,Hays,17.34276379,
Courtney,Mitchell,78.93257699,
Shawn,White,188.02192560,true
Taylor,Gomez,225.01982370,true
Jeremy,Rodriguez,200.72482080,true
April,Garcia,66.24555967,
Zachary,Watts,15.49738786,
Sarah,Montoya,206.82125470,true
Jennifer,Barker,89.18615989,
Sharon,Garza,72.35772704,
Tiffany,Stevens,196.37932200,true
Ruben,Armstrong,93.69836738,
Jeffrey,Spencer,271.16228200,true
Nicole,Ramsey,247.85960710,true
Anne,Roy,277.93248210,true
Lori,Sanchez,285.66164050,true
Allison,Chavez,126.85021100,true
Marcus,Adams,36.47040894,
Mary,Smith,16.31507197,
Joseph,Reed,178.45767420,true
Jason,Armstrong,26.04525746,
Jeff,Armstrong,88.47561284,
Sean,Shields,247.83952550,true
Jessica,Allison,104.74230800,true
Christian,Grant,99.11707917,
Edward,Watson,180.35355890,true
Derrick,Cooke,142.09011600,true
Arthur,Hall,235.96697490,true
Sean,Patrick,139.45079940,true
Heather,Collins,127.39257340,true
Megan,Gomez,107.86244510,true
William,Hale,114.67092540,true
Olivia,Thompson,8.60844101,
Lori,Torres,18.85827433,
Vickie,Hernandez,214.93218070,true
Kimberly,Brown,40.31993270,
Sherry,Meza,182.85454990,true
Phillip,Hansen,44.11611704,
Jeanette,Knight,28.68694329,
Kayla,Hanson,27.63036397,
James,Johnston,284.42905540,true
John,Porter,53.72799274,
Elizabeth,Reyes,93.68075684,
Kristen,Henry,77.00624357,
Claudia,Anderson,160.34015930,true
Nicholas,Webb,18.71038619,
Allison,Cooper,206.04210680,true
Zachary,Barnes,280.77413150,true
Gregory,Hill,265.97658080,true
Terry,Ayers,16.51163899,
Jessica,Wilson,290.40954610,true
Daniel,Frazier,190.32919170,true
Brian,Welch,218.25050830,true
Carol,Chavez,123.18344270,true
Ethan,Mcdonald,214.35031740,true
